AmaZulu FC,"172467,569545455"
Bloemfontein Celtic,"163683,838823529"
Cape Town City,"208407,432"
Chippa United,"180947,634761905"
Golden Arrows,"199057,643913044"
Kaizer Chiefs,"188954,4615"
Mamelodi Sundowns,"194404,484736842"
Moroka Swallows,"186786,827894737"
Orlando Pirates,"178570,593333333"
Polokwane City,"171738,877777778"
Richards Bay FC,"193006,199230769"
Royal AM,"209078,331111111"
Sekhukhune United,"169945,162941176"
Stellenbosch FC,"182326,7355"
SuperSport United,"195482,9785"
TS Galaxy,"184719,574"
